,Reference area,Measure,Unit of measure,Domain,TIME_PERIOD,OBS_VALUE,Observation status
33,Australia,Life satisfaction,0-10 scale,Subjective well-being,2019,7.5,Normal value
34,Australia,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2023,46.4628,Normal value
35,Australia,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2021,32.025161,Normal value
36,Australia,Life expectancy at birth,Years,Health,2022,83.2,Normal value
37,Australia,Life expectancy at birth,Years,Health,2021,83.3,Normal value
38,Australia,Life expectancy at birth,Years,Health,2020,83.2,Normal value
39,Australia,Life expectancy at birth,Years,Health,2019,82.9,Normal value
40,Australia,Life expectancy at birth,Years,Health,2017,82.5,Normal value
41,Australia,Life expectancy at birth,Years,Health,2016,82.4,Normal value
42,Australia,Life expectancy at birth,Years,Health,2015,82.4,Normal value
43,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2013,1.1106509409,Normal value
44,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2010,0.9892823526,Normal value
45,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2009,0.8357393204,Normal value
46,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2007,0.8244756756,Normal value
47,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2006,0.8819578978,Normal value
48,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2005,0.9056612352,Normal value
49,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2004,0.9680599867,Normal value
50,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2024,89.3636183725,Normal value
51,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2023,89.3636183725,Normal value
52,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2022,92.9694706655,Normal value
53,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2021,92.9694706655,Normal value
54,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2020,92.9694706655,Normal value
55,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2019,94.095000821,Normal value
56,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2018,94.095000821,Normal value
57,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2017,94.095000821,Normal value
58,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2016,93.5628795368,Normal value
59,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2015,93.5628795368,Normal value
60,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2014,93.5628795368,Normal value
61,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2013,94.4150057251,Normal value
62,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2012,94.4150057251,Normal value
63,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2011,94.4150057251,Normal value
64,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2010,94.7713258923,Normal value
65,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2008,94.7713258923,Normal value
66,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2007,96.1853591889,Normal value
67,Australia,Social support,Percentage of population aged 15 years or over,Social connections,2006,96.1853591889,Normal value
68,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2022,67.6666666667,Normal value
69,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2021,67.6666666667,Normal value
70,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2020,67.6666666667,Normal value
71,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2019,63.6666666667,Normal value
72,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2018,63.6666666667,Normal value
73,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2017,63.6666666667,Normal value
74,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2016,63.6666666667,Normal value
75,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2015,63.6666666667,Normal value
76,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2014,63.6666666667,Normal value
77,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2013,65.3333333333,Normal value
78,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2012,65.3333333333,Normal value
79,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2011,65.3333333333,Normal value
80,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2024,67.0,Normal value
81,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2023,67.0,Normal value
82,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2010,63.5,Normal value
83,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2008,63.5,Normal value
84,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2007,63.0,Normal value
85,Australia,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2006,63.0,Normal value
86,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2023,80.4740641886,Normal value
87,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2022,81.032666415,Normal value
88,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2021,81.6531283455,Normal value
89,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2020,81.0374823109,Normal value
90,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2019,80.6573342446,Normal value
91,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2018,80.1975387194,Normal value
92,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2017,79.979501148,Normal value
93,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2016,80.0577271726,Normal value
94,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2015,80.0728861988,Normal value
95,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2014,80.2220013382,Normal value
96,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2013,80.1322215913,Normal value
97,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2012,80.0545623236,Normal value
98,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2011,80.5510945968,Normal value
99,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2010,80.8330500738,Normal value
100,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
101,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
102,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
103,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
104,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
105,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
106,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
107,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
108,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
109,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
110,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
111,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
112,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
113,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
114,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
115,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
116,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
117,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
118,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
119,Australia,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
120,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
121,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
122,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
123,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
124,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
125,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
126,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
127,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
128,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
129,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
130,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
131,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
132,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
133,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
134,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
135,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
136,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
137,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
138,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
139,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
140,Australia,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
141,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2024,80.266,Normal value
142,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2023,80.1,Normal value
143,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2022,79.578,Normal value
144,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2021,77.851,Normal value
145,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2020,76.129,Normal value
146,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2019,77.598,Normal value
147,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2018,76.917,Normal value
148,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2017,76.38,Normal value
149,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2016,75.888,Normal value
150,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2008,75.475,Normal value
151,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2007,75.057,Normal value
152,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2006,74.309,Normal value
153,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2005,73.679,Normal value
154,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2004,72.397,Normal value
155,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2015,75.58,Normal value
156,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2014,75.05,Normal value
157,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2013,75.336,Normal value
158,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2012,75.589,Normal value
159,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2011,75.798,Normal value
160,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2010,75.444,Normal value
161,Australia,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2009,74.893,Normal value
162,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2022,0.940274806,Normal value
163,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2018,1.343368105,Normal value
164,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2012,1.013312533,Normal value
165,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2011,0.98445803,Normal value
166,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2008,0.807027429,Normal value
167,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2024,0.8373365755,Normal value
168,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2023,0.7322524778,Normal value
169,Austria,Social support,Percentage of population aged 15 years or over,Social connections,2008,91.452772301,Normal value
170,Austria,Social support,Percentage of population aged 15 years or over,Social connections,2006,91.6049182182,Normal value
171,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2022,82.3333333333,Normal value
172,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2021,82.3333333333,Normal value
173,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2020,82.3333333333,Normal value
174,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2016,80.6666666667,Normal value
175,Austria,Life expectancy at birth,Years,Health,2014,81.6,Normal value
176,Austria,Life expectancy at birth,Years,Health,2013,81.3,Normal value
177,Austria,Life expectancy at birth,Years,Health,2012,81.1,Normal value
178,Austria,Life expectancy at birth,Years,Health,2011,81.1,Normal value
179,Austria,Life expectancy at birth,Years,Health,2010,80.7,Normal value
180,Austria,Life expectancy at birth,Years,Health,2009,80.5,Normal value
181,Austria,Life expectancy at birth,Years,Health,2008,80.6,Normal value
182,Austria,Life expectancy at birth,Years,Health,2007,80.3,Normal value
183,Austria,Life expectancy at birth,Years,Health,2006,80.1,Normal value
184,Austria,Life expectancy at birth,Years,Health,2005,79.5,Normal value
185,Austria,Life expectancy at birth,Years,Health,2004,79.3,Normal value
186,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2005,80.2863387642,Normal value
187,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2004,80.5478900496,Normal value
188,Austria,Student reading skills,Points,Knowledge and skills,2018,484.3925684679,Normal value
189,Austria,Student reading skills,Points,Knowledge and skills,2015,484.8655971403,Normal value
190,Austria,Student reading skills,Points,Knowledge and skills,2012,489.6093351658,Normal value
191,Austria,Student reading skills,Points,Knowledge and skills,2009,470.2836321014,Normal value
192,Austria,Student reading skills,Points,Knowledge and skills,2006,490.1939773816,Normal value
193,Austria,Life satisfaction,0-10 scale,Subjective well-being,2024,7.6220193507,Normal value
194,Austria,Life satisfaction,0-10 scale,Subjective well-being,2022,7.8826444055,Normal value
195,Austria,Life satisfaction,0-10 scale,Subjective well-being,2021,7.9919458767,Normal value
196,Austria,Life satisfaction,0-10 scale,Subjective well-being,2018,8.0024162941,Normal value
197,Austria,Life satisfaction,0-10 scale,Subjective well-being,2013,7.8100056064,Normal value
198,Austria,Life expectancy at birth,Years,Health,2023,81.9,Normal value
199,Austria,Student reading skills,Points,Knowledge and skills,2022,480.41,Normal value
200,Austria,Adult literacy skills,Points,Knowledge and skills,2023,257.53921,Normal value
201,Austria,Adult literacy skills,Points,Knowledge and skills,2012,269.4511534,Normal value
202,Austria,Life satisfaction,0-10 scale,Subjective well-being,2023,7.696147497,Normal value
203,Austria,Having a say in government,Percentage of population aged 16-65 years,Civic engagement,2021,18.092454,Normal value
204,Austria,Life expectancy at birth,Years,Health,2022,81.4,Normal value
205,Austria,Life expectancy at birth,Years,Health,2021,81.3,Normal value
206,Austria,Life expectancy at birth,Years,Health,2020,81.3,Normal value
207,Austria,Life expectancy at birth,Years,Health,2019,82.0,Normal value
208,Austria,Life expectancy at birth,Years,Health,2018,81.8,Normal value
209,Austria,Life expectancy at birth,Years,Health,2017,81.7,Normal value
210,Austria,Life expectancy at birth,Years,Health,2016,81.8,Normal value
211,Austria,Life expectancy at birth,Years,Health,2015,81.3,Normal value
212,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2015,80.6666666667,Normal value
213,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2014,80.6666666667,Normal value
214,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2010,77.3333333333,Normal value
215,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2009,77.3333333333,Normal value
216,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2008,77.3333333333,Normal value
217,Austria,Self-reported depression,Percentage of population aged 15 years or over,Health,2019,5.6,Normal value
218,Austria,Self-reported depression,Percentage of population aged 15 years or over,Health,2014,5.0,Normal value
219,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2024,83.0,Normal value
220,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2023,83.0,Normal value
221,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2019,84.0,Normal value
222,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2018,84.0,Normal value
223,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2017,84.0,Normal value
224,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2013,83.0,Normal value
225,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2012,83.0,Normal value
226,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2011,83.0,Normal value
227,Austria,Feeling safe at night,Percentage of population aged 15 years or over,Safety,2006,75.0,Normal value
228,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2023,13.6,Normal value
229,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2022,11.9,Normal value
230,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2021,10.1,Normal value
231,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2020,9.4,Normal value
232,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2019,10.7,Normal value
233,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2018,11.3,Normal value
234,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2017,11.5,Normal value
235,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2016,12.8,Normal value
236,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2015,13.4,Normal value
237,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2014,14.9,Normal value
238,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2013,14.0,Normal value
239,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2012,14.0,Normal value
240,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2011,14.4,Normal value
241,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2010,14.4,Normal value
242,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2009,15.4,Normal value
243,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2008,14.0,Normal value
244,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2007,10.9,Normal value
245,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2006,7.8,Normal value
246,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2005,9.6,Normal value
247,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2004,10.7,Normal value
248,Austria,Difficulty making ends meet,Percentage of population aged 16 years or over,Income and wealth,2024,13.1,Normal value
249,Austria,Feeling lonely,Percentage of population aged 16 years or over,Social connections,2022,4.2547728909,Normal value
250,Austria,Feeling lonely,Percentage of population aged 16 years or over,Social connections,2018,3.4708502358,Normal value
251,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2023,79.3439751966,Normal value
252,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2022,79.227485712,Normal value
253,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2021,78.9315567186,Normal value
254,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2020,78.7387693976,Normal value
255,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2019,79.2029613777,Normal value
256,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2018,79.3418907548,Normal value
257,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2017,79.1502390374,Normal value
258,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2016,79.3050425241,Normal value
259,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2015,79.2105374973,Normal value
260,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2014,79.2580931766,Normal value
261,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2013,79.2066632087,Normal value
262,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2012,79.8114982411,Normal value
263,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2011,79.6906692922,Normal value
264,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2010,80.1800346659,Normal value
265,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2009,80.6919805343,Normal value
266,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2008,80.7264356056,Normal value
267,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2007,80.9183867474,Normal value
268,Austria,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2006,80.5407381449,Normal value
269,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
270,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
271,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
272,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
273,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
274,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
275,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
276,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
277,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
278,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
279,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
280,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
281,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
282,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
283,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
284,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
285,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
286,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
287,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
288,Austria,Households and NPISHs net adjusted disposable income per capita,US dollars per person,HSL_1,Income and wealth,,A
289,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
290,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
291,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
292,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
293,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
294,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
295,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
296,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
297,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
298,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
299,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
300,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
301,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
302,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
303,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
304,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
305,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
306,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
307,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
308,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
309,Austria,Average annual gross earnings,US dollars,HSL_2,Work and job quality,,A
310,Austria,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2024,78.197,Normal value
311,Austria,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2008,74.34,Normal value
312,Austria,Employment rate,Percentage of population aged 25-64 years,Work and job quality,2007,73.36,Normal value
