Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Indonesia,90.0,90.0,82.3333333333,82.3333333333,82.3333333333,87.6666666667,87.6666666667,87.6666666667,79.6666666667,79.6666666667,79.6666666667,80.6666666667,80.6666666667,80.6666666667,81.0,81.0,81.0,83.0,83.0
Ireland,71.0,,66.3333333333,66.3333333333,66.3333333333,72.0,72.0,72.0,75.6666666667,75.6666666667,75.6666666667,76.6666666667,76.6666666667,76.6666666667,74.0,74.0,74.0,77.0,77.0
Israel,71.5,71.5,67.0,67.0,67.0,64.6666666667,64.6666666667,64.6666666667,70.0,70.0,70.0,76.6666666667,76.6666666667,76.6666666667,79.6666666667,79.6666666667,79.6666666667,69.5,69.5
Italy,60.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,58.3333333333,58.3333333333,58.3333333333,63.3333333333,63.3333333333,63.3333333333,70.3333333333,70.3333333333,70.3333333333,62.0,62.0
Japan,62.5,62.5,68.6666666667,68.6666666667,68.6666666667,71.6666666667,71.6666666667,71.6666666667,70.3333333333,70.3333333333,70.3333333333,74.3333333333,74.3333333333,74.3333333333,77.0,77.0,77.0,77.5,77.5
Korea,60.5,60.5,59.0,59.0,59.0,59.3333333333,59.3333333333,59.3333333333,64.0,64.0,64.0,72.3333333333,72.3333333333,72.3333333333,81.0,81.0,81.0,78.0,78.0
Latvia,47.0,47.0,48.5,48.5,,54.0,54.0,54.0,61.0,61.0,61.0,60.0,60.0,60.0,74.6666666667,74.6666666667,74.6666666667,74.5,74.5
Lithuania,32.0,32.0,33.3333333333,33.3333333333,33.3333333333,43.3333333333,43.3333333333,43.3333333333,51.3333333333,51.3333333333,51.3333333333,67.0,67.0,67.0,64.6666666667,64.6666666667,64.6666666667,73.0,73.0
Luxembourg,,,75.5,,75.5,69.6666666667,69.6666666667,69.6666666667,72.0,72.0,72.0,83.3333333333,83.3333333333,83.3333333333,,,89.0,87.0,
Mexico,56.5,56.5,49.0,49.0,49.0,50.3333333333,50.3333333333,50.3333333333,46.0,46.0,46.0,41.0,41.0,41.0,45.0,45.0,45.0,48.0,48.0
Netherlands,73.0,73.0,73.0,,73.0,78.6666666667,78.6666666667,78.6666666667,81.3333333333,81.3333333333,81.3333333333,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.5,82.5
New Zealand,60.5,60.5,59.5,,59.5,66.0,66.0,66.0,64.6666666667,64.6666666667,64.6666666667,68.3333333333,68.3333333333,68.3333333333,63.3333333333,63.3333333333,63.3333333333,61.0,61.0
Norway,85.0,,81.0,,,,87.0,,87.6666666667,87.6666666667,87.6666666667,92.6666666667,92.6666666667,92.6666666667,92.3333333333,92.3333333333,92.3333333333,91.5,91.5
Peru,48.0,48.0,44.6666666667,44.6666666667,44.6666666667,44.0,44.0,44.0,43.0,43.0,43.0,46.0,46.0,46.0,43.0,43.0,43.0,44.0,44.0
Poland,64.0,64.0,61.3333333333,61.3333333333,61.3333333333,65.0,65.0,65.0,66.3333333333,66.3333333333,66.3333333333,70.6666666667,70.6666666667,70.6666666667,70.6666666667,70.6666666667,70.6666666667,67.0,67.0
Portugal,64.0,,62.6666666667,62.6666666667,62.6666666667,63.3333333333,63.3333333333,63.3333333333,72.0,72.0,72.0,79.3333333333,79.3333333333,79.3333333333,82.0,82.0,82.0,80.5,80.5
Romania,60.5,60.5,,52.5,52.5,56.3333333333,56.3333333333,56.3333333333,56.3333333333,56.3333333333,56.3333333333,63.6666666667,63.6666666667,63.6666666667,67.3333333333,67.3333333333,67.3333333333,66.0,66.0
Slovak Republic,47.0,,,,49.0,57.3333333333,57.3333333333,57.3333333333,60.0,60.0,60.0,65.6666666667,65.6666666667,65.6666666667,72.6666666667,72.6666666667,72.6666666667,67.5,67.5
Slovenia,79.0,,,81.0,81.0,83.3333333333,83.3333333333,83.3333333333,85.0,85.0,85.0,89.3333333333,89.3333333333,89.3333333333,90.0,90.0,90.0,87.5,87.5
South Africa,36.5,36.5,22.3333333333,22.3333333333,22.3333333333,31.6666666667,31.6666666667,31.6666666667,36.0,36.0,36.0,30.3333333333,30.3333333333,30.3333333333,36.3333333333,36.3333333333,36.3333333333,31.5,31.5
Spain,64.5,64.5,65.3333333333,65.3333333333,65.3333333333,73.6666666667,73.6666666667,73.6666666667,83.3333333333,83.3333333333,83.3333333333,81.3333333333,81.3333333333,81.3333333333,80.3333333333,80.3333333333,80.3333333333,81.5,81.5
Sweden,71.0,71.0,71.0,71.0,71.0,79.0,79.0,79.0,76.0,76.0,76.0,76.3333333333,76.3333333333,76.3333333333,80.6666666667,80.6666666667,80.6666666667,80.0,80.0
Switzerland,77.0,,,76.0,,,78.0,,83.6666666667,83.6666666667,83.6666666667,87.3333333333,87.3333333333,87.3333333333,86.3333333333,86.3333333333,86.3333333333,87.5,87.5
Thailand,68.5,68.5,65.3333333333,65.3333333333,65.3333333333,72.3333333333,72.3333333333,72.3333333333,69.6666666667,69.6666666667,69.6666666667,67.0,67.0,67.0,61.6666666667,61.6666666667,61.6666666667,67.0,67.0
Türkiye,50.5,50.5,51.3333333333,51.3333333333,51.3333333333,56.0,56.0,56.0,60.3333333333,60.3333333333,60.3333333333,59.3333333333,59.3333333333,59.3333333333,57.0,57.0,57.0,59.0,59.0
United Kingdom,62.5,62.5,66.6666666667,66.6666666667,66.6666666667,73.3333333333,73.3333333333,73.3333333333,77.3333333333,77.3333333333,77.3333333333,77.6666666667,77.6666666667,77.6666666667,73.6666666667,73.6666666667,73.6666666667,76.0,76.0
United States,75.0,75.0,76.6666666667,76.6666666667,76.6666666667,74.6666666667,74.6666666667,74.6666666667,74.3333333333,74.3333333333,74.3333333333,73.0,73.0,73.0,74.6666666667,74.6666666667,74.6666666667,71.5,71.5
