Reference area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Poland,60.799,61.712,63.117,65.522,67.487,67.366,66.819,67.259,67.45,67.613,69.033,70.306,71.507,72.934,73.974,74.951,75.884,77.908,79.069,80.135,80.503
Portugal,74.837,74.484,74.754,74.603,74.979,73.167,72.656,68.715,66.469,66.003,68.723,70.575,72.121,75.018,77.202,78.031,77.156,78.853,80.426,81.018,81.578
Romania,66.197,66.879,68.379,68.054,68.079,67.327,68.181,67.204,68.107,67.847,68.77,68.644,69.245,71.538,72.623,73.759,73.522,69.833,71.724,71.867,72.827
Slovak Republic,66.279,67.244,68.987,69.982,72.106,69.985,68.434,68.768,68.849,68.672,69.397,70.904,72.815,73.751,75.041,76.248,75.463,78.024,80.04,80.709,81.324
Slovenia,72.982,73.451,73.772,74.441,75.169,74.328,72.712,70.846,70.969,69.985,70.398,71.383,72.232,75.118,77.187,78.381,78.289,78.985,80.587,79.755,80.547
South Africa,55.09,57.065,58.759,58.18,58.818,56.686,54.392,54.403,54.822,55.264,55.195,55.834,55.046,55.149,54.971,53.92,49.211,47.253,48.393,50.363,50.683
Spain,67.099,68.916,70.242,71.081,69.974,65.929,64.986,64.372,62.231,61.31,62.661,64.642,66.604,68.097,69.522,70.609,68.663,70.294,72.001,73.338,74.174
Sweden,79.653,80.321,80.921,82.02,82.382,80.866,80.719,81.971,82.314,82.626,82.769,83.11,83.591,84.133,84.686,84.46,83.326,82.641,84.12,84.661,84.235
Switzerland,80.644,80.833,81.019,81.976,83.133,82.72,80.43,81.525,81.96,81.761,82.172,82.741,82.997,83.008,83.431,84.102,83.734,83.111,83.447,84.134,84.013
Türkiye,49.464,49.599,49.635,49.554,49.762,49.27,51.516,53.55,54.216,54.691,54.336,54.931,55.497,56.479,56.747,54.991,52.508,55.149,57.623,58.096,59.242
United Kingdom,75.262,75.545,75.622,75.76,75.71,74.596,74.53,74.399,75.171,75.942,76.998,77.761,78.184,79.037,79.344,79.975,79.642,79.348,79.786,80.004,80.212
United States,75.365,75.719,76.195,76.191,75.517,72.495,71.796,71.654,72.181,72.319,72.983,73.392,73.94,74.616,75.298,75.877,71.795,73.68,75.803,76.641,76.671
